# skill_name	category_zh	summary_zh
# 每行格式：skill名稱<TAB>分類<TAB>中文功能說明
# sk audit 會讀取此檔，lang=zh 時使用中文欄位
# 新增 skill 後請同步更新此檔

# === 後端 / 資料 ===
dev-process-gate	基礎建設	攔截跳過設計直接寫 code 的行為，引導走完整開發流程
headless-agent	基礎建設	Headless agent 模式範本：排程、structured logging、output 管理
init-project	基礎建設	初始化 AGENTS.md + .claude/CLAUDE.md 專案配置
plan-check-style	基礎建設	Plan mode 進入 UI 任務時，掃描並載入對應的設計風格
self-improving-agent	基礎建設	記錄錯誤/修正/最佳實踐到 .learnings/，持續學習改進
setup-permissions	基礎建設	偵測專案工具鏈，自動配置 settings.local.json 權限白名單
skill-creator	基礎建設	Skill 全生命週期：建立、測試、benchmark、優化觸發描述
skill-scout	基礎建設	從 Clawdbot/OpenClaw 生態系搜尋、評估、移植 skills
launchd-agent	基礎建設	macOS launchd 排程管理：plist 產生、StartCalendarInterval、launchctl 生命週期
repo-rename	基礎建設	Git repo 改名：系統性掃描所有跨位置引用，產生遷移 checklist
session-harvest	基礎建設	Session 結束時回顧工作，萃取可復用的 skill 候選
settings-audit	基礎建設	審計 settings.local.json：移除無效權限、修正 JSON 語法、驗證格式
tunnel-proxy-deploy	基礎建設	FastAPI + Next.js 經 Cloudflare Tunnel 部署：反向代理、CORS、port mapping
agent-persona	基礎建設	Headless agent 角色 prompt 產生器（tester/maintainer/reviewer/developer/researcher）：自動注入專案結構、工具權限與輸出格式
session-wrap	基礎建設	Session 結束清理：auto-commit 未提交變更、歸檔 learnings、更新 progress.md
sync-readme	基礎建設	跨 repo 同步 README.md 的 Skills Catalog / 參考章節（SKILL.md 修改時 hook 自動觸發）

# === 品質 / 安全 ===
code-reviewer	品質	程式碼審查：效能、正確性、可維護性
doc-to-structured-data	品質	非結構化文件轉結構化 CSV/JSON：格式偵測、欄位辨識、多表輸出
de-slopify	品質	移除 AI 生成的 slop 痕跡（含繁中模式：值得注意的是…）
destructive-command-guard	品質	PreToolUse hook，攔截 git reset --hard、rm -rf 等危險指令
post-change-qa	品質	改完 code 後自動重啟 server、跑測試、Playwright 截圖驗證
qa-planner	品質	分析 code diff 產出 QA 計畫：影響範圍、測試案例、風險評估
qa-auto	品質	根據 QA 計畫自動產生測試程式碼、執行測試、回報覆蓋率缺口
qa-testing	品質	跨框架測試撰寫指南：pytest / Vitest / Swift Testing
security-review	品質	全面安全檢查清單：auth、input validation、secrets、API
protect-secrets	品質	PreToolUse hook，阻擋讀寫 .env、私鑰、credentials 等機密檔案
systematic-debugging	品質	四階段除錯框架：觀察 → 假設 → 驗證 → 修復，禁止跳到答案
github-repo-audit	品質	GitHub repo 健康度審計：結構、文件覆蓋、CI/CD、相依性、code hygiene，產出可行動評分報告
large-file-refactor	品質	系統化拆分 500+ 行單一檔案：保持介面相容、模組化、介面測試

# === 工作流 / 規劃 ===
autoresearch	工作流	自主迭代迴圈：定義目標 + 指標 + 驗證指令，agent 自動 modify → verify → keep/discard
context-recovery	工作流	Session compaction 後自動恢復上下文（git/檔案/memory）
dispatching-parallel-agents	工作流	派遣多個 agent 平行處理 3+ 個獨立問題
executing-plans	工作流	分批執行實作計畫，每批完成後 review checkpoint
planning-with-files	工作流	Manus 風格檔案式規劃（task_plan.md / findings.md / progress.md）
requirement	工作流	定義結構化需求：user story + acceptance criteria + scope
user-flow	工作流	設計使用者流程 Mermaid 流程圖（happy path + error branch）
keyword-discovery	工作流	自動關鍵字探索：分析未匹配項目、寫入候選 YAML、高信心自動晉升
writing-plans	工作流	撰寫詳細實作計畫（TDD、2-5 分鐘 task、零背景工程師可執行）

# === 整合 / 領域 ===
claude-to-telegram	整合	設定 Telegram bridge 遠端控制 Claude Code（兩種方案比較）
tw-company-lookup	整合	台灣公司登記查詢：findbiz.nat.gov.tw 基本資料、董監事、變更紀錄
web-scraper	整合	Playwright 網頁爬蟲：反爬繞過、JS 渲染頁面、表單互動
gdrive-to-skills	整合	讀取 Google Drive 文件（MCP），分類後建立 knowledge skills
investment-research	整合	持續投資組合管理：alpha 發掘、風險管理、回測、財報分析
knowledge-graph	整合	三層記憶系統：Entity JSONL + Auto Memory + MEMORY.md
telegram-bot	整合	Telegram bot 開發指南：grammY (TS) / python-telegram-bot (Python)

# === 商業 / 銷售 ===
crm-projection	商業	CRM 客戶索引：nx_client + nx_deal 投射至本地 markdown
customer-intel	商業	B2B 客戶情蒐：公司概覽、領導層、財務、競爭者、痛點、銷售策略
material-health	商業	銷售素材庫健康檢查：frontmatter 缺漏、過期補助、陳舊資訊偵測
sales-material	商業	客製化銷售簡報：匹配情蒐、案例、方案、補助，產生 PPTX
subsidy-scraper	商業	政府補助爬蟲：自動擷取補助公告、去重、歸檔、產生 INDEX.md
tender-scraper	商業	政府標案爬蟲：g0v API 擷取、關鍵字過濾、自動探索、dashboard 可觀測
pitch-deck	商業	投資人/BP pitch deck 製作：discovery → narrative → HTML slides → PPTX 匯出
discovery-interview	商業	結構化客戶 Discovery 訪談：找最痛的手動流程，產出 discovery-summary.md（接 sow-writer）
sow-writer	商業	台灣格式 SOW 工作說明書：12+ 標準章節、Mermaid Gantt、人天計費
rfq-writer	商業	RFQ 報價單：pre-contract 議價、範圍選項、版本控制（合約前輕量版）
metadata-workshop	商業	客戶 Metadata Workshop：商業知識轉 YAML schema（廠務 PI/SCADA/MES、ERP、travel）— AI 顧問的 moat

# === 人資 ===
candidate-analysis	人資	面試候選人管理：PDF 履歷結構化、GitHub 程式碼品質分析、候選人檔案產生
jd-writer	人資	結構化 JD 產生：工作職責、必要/加分技能、職涯路徑、薪資範圍（讀組織階層寫出精準 JD）

# === gstack（garrytan/gstack）===

# -- 規劃 / 審查 --
autoplan	gstack	全自動規劃審查：依序執行 CEO/設計/工程/DX 四輪審查並自動決策，最終呈現品味分歧點
plan-ceo-review	gstack	CEO 視角計畫審查：重構問題、找 10 星產品、挑戰假設，互動式問答
plan-design-review	gstack	設計師視角計畫審查：互動式評分設計決策、介面一致性與視覺層級
plan-eng-review	gstack	工程經理視角計畫審查：鎖定架構、資料流、執行計畫與技術風險
plan-devex-review	gstack	開發體驗計畫審查：探索開發者 persona、基準測試 DX 問題
plan-tune	gstack	自我調整問題敏感度，觀察並建立開發者心理特徵模型
context-save	gstack	儲存當前工作狀態（git 狀態、已做決策、剩餘待辦），供跨 session 還原
context-restore	gstack	還原 /context-save 儲存的最近工作狀態

# -- 設計 --
design-consultation	gstack	設計諮詢：了解產品、研究市場、提出設計方向與建議
design-html	gstack	產生生產品質 HTML/CSS 設計稿（Pretext-native 風格）
design-review	gstack	設計師視角 QA：偵測視覺不一致、間距、層級問題並自動修復
design-shotgun	gstack	多款 AI 設計方案同時產生並開啟比較看板

# -- 品質 / 安全 --
qa	gstack	系統化 Web App QA 測試：分層測試並逐一修復 bug，每修一個 commit 一次
qa-only	gstack	唯報告模式 QA 測試：找出 bug 但不修復，輸出結構化報告
canary	gstack	部署後 canary 監控：偵測 console 錯誤、效能退步、功能斷裂
careful	gstack	破壞性指令安全守衛：rm -rf、DROP TABLE 等指令執行前強制警告
guard	gstack	完整安全模式：破壞性指令警告 + 目錄範圍限制（/careful + /freeze 合體）
health	gstack	程式碼品質儀表板：整合型別檢查、linter、測試、安全掃描，輸出評分報告
investigate	gstack	系統化 debug 四階段：調查 → 分析 → 修復 → 驗證，禁止跳到答案
review	gstack	落地前 PR 審查：SQL 安全、LLM 成本、邏輯缺陷、最佳實踐
cso	gstack	資安長模式：基礎設施安全稽核、秘密掃描、威脅建模、漏洞優先排序

# -- 瀏覽 / 爬取 --
browse	gstack	無頭瀏覽器 QA 工具：導覽、截圖、點擊互動，用於測試與網站 dogfooding
scrape	gstack	從網頁擷取資料：自動化爬取流程原型，可固化為永久 browser-skill
open-gstack-browser	gstack	啟動 GStack Browser（AI 控制 Chromium + sidebar extension 整合）
setup-browser-cookies	gstack	從真實 Chromium 匯入 cookie 至無頭瀏覽 session
skillify	gstack	將最近的 /scrape 流程固化為可重複使用的永久 browser-skill

# -- 部署 / 發布 --
ship	gstack	完整發布流程：合併、跑測試、版本號、更新 CHANGELOG、commit、push、建 PR
land-and-deploy	gstack	落地並部署：合併 PR、等待 CI 通過、驗證生產環境正常
landing-report	gstack	唯讀發布佇列儀表板：顯示各 VERSION slot 狀態
document-release	gstack	發布後文件更新：對照 diff 更新所有相關 docs（README、CHANGELOG、ARCHITECTURE 等）
setup-deploy	gstack	設定 /land-and-deploy 的部署參數（平台偵測、設定檔產生）
freeze	gstack	限制 session 內檔案編輯範圍至指定目錄，防止意外修改
unfreeze	gstack	解除 /freeze 設定的目錄範圍限制

# -- 開發工具 --
codex	gstack	OpenAI Codex CLI 整合：程式碼審查、推理模式、獨立 diff 分析
devex-review	gstack	開發體驗實際稽核：用 browse 工具真正跑過 DX 流程，輸出結構化報告
learn	gstack	管理專案學習記錄：查看、搜尋、修剪、匯出 gstack 累積的 learnings
retro	gstack	每週工程回顧：分析 commit 歷史、工作模式、產出行動改善清單
benchmark	gstack	效能回歸偵測：建立基準線、整合 browse 工具做前端效能比對
benchmark-models	gstack	跨模型基準測試（Claude / GPT 等），評估相同 prompt 的 skill 回應品質
office-hours	gstack	YC Office Hours 模式：六個核心逼問創業假設，或技術可行性評估
make-pdf	gstack	Markdown → 出版品質 PDF（正確 1in 頁邊距、智慧字型配對）
pair-agent	gstack	將遠端 AI agent 與瀏覽器配對：產生 setup key 並同步工作狀態

# -- gstack 工具 --
gstack	gstack	gstack 根目錄 skill（無頭瀏覽器 QA）
gstack-upgrade	gstack	gstack 升級至最新版本（全域或 vendor 安裝自動偵測）
setup-gbrain	gstack	安裝 gbrain CLI、初始化 PGLite 知識庫，讓 agent 具備持續記憶

# === rivendell 新增（未收錄）===
client-kickoff-docs	工作流	新客戶 kickoff 文件產生器：讀 homework 檔 → 建立 scope.md + deadline.md + 議程草稿
env-doctor	工作流	產生環境診斷腳本（doctor.sh/py）：Python/Node 版本、依賴 hash、env var、外部服務連線健康檢查
presales-pipeline	工作流	以檔案系統管理 B2B 售前 pipeline：new-client.sh 建立標準資料夾、階段追蹤、跟進提醒
repro-exam	品質	產生 deterministic 測驗題組（input → expected output），快速定位跨機器計算差異
doc-coauthoring	文件	三階段協作共筆流程：大綱對齊 → 逐節撰寫 → 整體審稿，降低共筆摩擦
internal-comms	文件	組織內部溝通模板：進度通報、公告、FAQ 回覆、全員通知等格式
mops-financial-scraper	後端	自動化抓取 MOPS 財務三表、月營收、季/年報，並結構化存檔
workflow-retro	Meta	rivendell skills + agents 每週可觀測性回顧：讀 audit 報告、產出改善建議
